iter,step,seg,loss,gn_cum,indep_gn
1,15,ans_first,1.8888,90.7996,5.3654
1,15,cq,3.0772,95.1943,19.0966
1,15,ans_final,1.6038,95.1427,5.6133
1,15,ans_first,2.6915,95.6865,8.4844
1,15,cq,3.7170,113.6738,46.7568
1,15,ans_final,1.5968,113.3980,5.2253
1,16,ans_first,1.6380,5.3124,5.3124
1,16,cq,2.2335,20.0546,19.1623
1,16,ans_final,1.5998,20.6782,4.2964
1,16,ans_first,1.2664,21.0875,4.0368
1,16,cq,0.6538,26.7879,13.1775
1,16,ans_final,1.5383,27.4454,4.9432
1,16,ans_first,2.2395,28.2366,7.0238
1,16,cq,1.6407,34.3827,16.6686
1,16,ans_final,1.4955,35.0672,5.3778
1,16,ans_first,1.7069,35.3071,5.0169
1,16,cq,1.4136,39.0286,12.1407
1,16,ans_final,1.3229,39.4098,5.7228
1,16,ans_first,1.6885,40.4010,8.4595
1,16,cq,0.5563,47.3064,17.3053
1,16,ans_final,1.3679,48.1907,5.2641
1,16,ans_first,2.1563,48.9851,7.4323
1,16,cq,1.6023,62.7406,27.9043
1,16,ans_final,1.4389,63.0932,3.8152
1,16,ans_first,1.9334,64.0385,10.3816
1,16,cq,1.4039,70.0627,23.9017
1,16,ans_final,1.5366,70.4324,5.0641
1,16,ans_first,1.7982,70.4055,3.5921
1,16,cq,1.0114,74.5726,13.9684
1,16,ans_final,1.5124,75.2560,6.2294
1,17,ans_first,1.9953,8.5822,8.5822
1,17,cq,1.5325,18.5227,16.4782
1,17,ans_final,1.4907,19.2182,5.2457
1,17,ans_first,1.8444,20.5519,6.5316
1,17,cq,1.8098,26.9185,14.6632
1,17,ans_final,1.4731,26.9679,3.7841
1,17,ans_first,1.7798,27.5906,5.4830
1,17,cq,1.7191,34.8461,16.9623
1,17,ans_final,1.7674,35.2283,5.3220
1,17,ans_first,2.3305,35.8494,6.4476
1,17,cq,2.2804,48.2920,29.6119
1,17,ans_final,1.7114,48.6512,6.8669
1,17,ans_first,2.3828,49.2727,6.4461
1,17,cq,1.1949,56.5148,15.9808
1,17,ans_final,1.6258,56.8934,6.5464
1,17,ans_first,1.5407,57.1301,7.9688
1,17,cq,1.3450,63.4187,20.1002
1,17,ans_final,1.5604,63.9448,4.5710
1,17,ans_first,2.1358,64.1639,4.1814
1,17,cq,2.7358,70.2707,19.3559
1,17,ans_final,1.7125,70.6754,5.4790
1,17,ans_first,1.8106,70.8117,5.6237
